#separator:Tab
#html:false
#tags column:5
IMF-105-02-0001-en	What distinguishes a Brønsted–Lowry acid from a base?	An acid donates a proton; a base accepts one.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0012-en	After adding strong acid to an HA/A− buffer, which amounts belong in the Henderson–Hasselbalch ratio?	The amounts after the dominant acid–base reaction, provided appreciable amounts of both buffer components remain and the approximation is valid.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0013-en	A buffer has 10.0 mmol each of HA and A− and pKa 5. What is its approximate pH after 2.00 mmol strong acid is added?	4.82: A− becomes 8.00 mmol and HA 12.0 mmol; pH = 5 + log10(8/12). Assume valid buffer conditions.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0014-en	Can two buffers with the same pH have different capacities to absorb added acid?	Yes. Equal component ratios can give equal pH despite different available amounts of conjugate base.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0015-en	What does ideal dilution do to buffer pH and the capacity of a fixed solution volume?	It approximately preserves pH by preserving the ratio, but reduces capacity per fixed volume. Extreme dilution may invalidate the approximation.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0016-en	What distinguishes titration equivalence point from endpoint?	Equivalence is stoichiometric reaction completion; endpoint is the chosen indicator or instrumental signal. They should be close but are not identical definitions.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0017-en	Why is pH approximately pKa at half-equivalence in a simple weak-acid, strong-base titration?	Acid and conjugate-base amounts are approximately equal, so the logarithm of their ratio is zero under valid buffer assumptions.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0018-en	What volume of 0.100 mol/L strong base reaches equivalence for 25.0 mL of 0.0800 mol/L monoprotic acid?	20.0 mL: the acid contains 2.00 mmol and requires 2.00 mmol of base.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0019-en	Why is the equivalence pH above 7 in an ideal weak-acid, strong-base titration at 25°C?	The remaining conjugate base reacts with water to generate hydroxide; equivalence does not automatically mean neutrality.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0020-en	At pH one unit above the pKa of a simple acid group, what is the approximate deprotonated-to-protonated ratio?	10:1 under suitable activity approximations; this does not alone determine the charge of an entire protein.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0021-en	At 25°C, what Kb corresponds to a conjugate acid with Ka = 10⁻⁵, using Kw = 10⁻¹⁴?	Kb = Kw/Ka = 10⁻⁹, using consistent equilibrium conventions.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0022-en	What is the approximate pH after equal-volume mixing of ideal unbuffered strong-acid solutions at pH 2 and 4?	2.30, not 3: average concentrations to obtain (0.0100 + 0.0001)/2 = 0.00505 mol/L, then take the negative logarithm. Assume additive volumes and negligible water contribution.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
