#separator:Tab
#html:false
#tags column:5
IMF-016-01-0001-en	Respiratory assessment must determine which five things?	Urgency, anatomical compartment, physiological defect, cause, and functional effect.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0012-en	Why does tactile fremitus increase over consolidated lung but fall with pleural fluid or pneumothorax?	Consolidated lung transmits sound, whereas fluid, gas, obstruction or a thick chest wall reduce transmission.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0013-en	What does bronchial breathing heard over peripheral lung suggest?	Transmission of sound through consolidation or a cavity.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0014-en	What separates fine late inspiratory crackles from coarse crackles, and how reliable is that separation?	Fine late inspiratory crackles support fibrosis or oedema and coarse sounds suggest larger-airway secretions, but the overlap is substantial.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0015-en	A useful verbal record of a respiratory examination finding specifies which five elements?	Side, surface, height, respiratory phase, and comparison.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0016-en	Recording right posterior basal inspiratory crackles does not establish what, and what does it allow?	It does not fix a pathological diagnosis or a bronchopulmonary segment, but it lets another examiner revisit the same region and ask whether the finding persists.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0017-en	A new asymmetry is heard on auscultation. Which three mechanisms should be considered before naming a diagnosis?	Reduced ventilation, altered sound transmission, or the patient limiting movement because of pain.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0018-en	Severity tools standardise assessment, so what can a low score fail to capture?	Rapid trajectory, frailty, immune suppression, social barriers, or inability to maintain hydration and treatment.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0019-en	A venous gas is often adequate for which measurements, and what can it not replace?	It often estimates pH and carbon dioxide well enough for initial metabolic assessment, but it cannot replace arterial oxygen measurement.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0020-en	In what order is a blood gas interpreted?	pH first, then whether carbon dioxide or bicarbonate explains the primary direction, then expected compensation, then the anion gap in metabolic acidosis, then oxygenation with inspired oxygen and context.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0021-en	How does bicarbonate differ between acute respiratory acidosis and chronic carbon dioxide retention?	The acute rise in bicarbonate is limited, whereas chronic retention allows greater renal compensation.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0022-en	What does the alveolar-arterial oxygen difference separate, and what does its estimation depend on?	It separates uncomplicated hypoventilation from gas-exchange impairment, and depends on barometric pressure, inspired fraction, and respiratory quotient.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0023-en	A normal chest radiograph fails to exclude which conditions?	Early pneumonia, embolism, a small pneumothorax, asthma, and airway disease.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
IMF-016-01-0024-en	In preoperative respiratory assessment, what is more useful than routine testing without an actionable question?	Optimisation through smoking cessation, bronchodilator control, activity, secretion management, and postoperative lung expansion and mobilisation.	Integrated Medical Foundations; chapter 16, TTS module 1; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: 5c672c029a0c3071aaa2d8c387d587d80fa954534c045713d9e94dc965c8d52f; editorial review pending	imf lang::en chapter::016 module::016-01 review::pending
